,Company,rating,reviews,place,company type,old
75,Shriram Transpor...,4.1,(4.6k Reviews),"Mumbai,Maharashtra + 593 more",Public,43 years old
76,IIFL,3.9,(3k Reviews),"Mumbai,Maharashtra + 398 more",Public,27 years old
77,Sun Pharmaceutic...,4.1,(3.4k Reviews),Mumbai + 134 more,Public,39 years old
78,Future Group,4.2,(9.4k Reviews),"Mumbai,Maharashtra + 188 more",Private,9 years old
79,Apollo Hospitals,4.1,(4.6k Reviews),"San Francisco,California + 152 more",Public,39 years old
80,Aurobindo Pharma,4.1,(3.1k Reviews),"Hyderabad/Secunderabad,Telangana + 44 more",Public,36 years old
81,Vivo,4.2,(2.9k Reviews),"Gurgaon/Gurugram,Haryana + 302 more",Private,13 years old
82,Nokia,4.3,(3k Reviews),"Espoo,Southern Finland + 163 more",Private,157 years old
83,KPMG,3.7,(2.8k Reviews),"Amstelveen,North Holland + 49 more",Partnership,35 years old
84,Wipro BPS,3.8,(2.8k Reviews),22 years old,Bengaluru + 35 more,1 Lakh+ Employees (India)
85,JP Morgan Chase,4.2,(2.8k Reviews),"New York,New York + 18 more",Private,22 years old
86,Mindtree,4.1,(2.7k Reviews),"Bangalore/Bengaluru,Karnataka + 22 more",Public,23 years old
87,Siemens,4.2,(2.8k Reviews),"Munich,Bavaria + 95 more",Public,30 years old
88,Oyo Rooms,3.6,(2.9k Reviews),"Gurgaon,Haryana + 100 more",Private,9 years old
89,eClerx,3.7,(2.7k Reviews),"Mumbai,Maharashtra + 15 more",Public,22 years old
90,TVS Motor,4.1,(2.8k Reviews),"Chennai,Tamil Nadu + 219 more",Public,43 years old
91,Bandhan Bank,4.0,(2.8k Reviews),"Kolkata,West Bengal + 464 more",Public,21 years old
92,Fidelity Nationa...,4.1,(2.7k Reviews),"Jacksonville,Florida + 28 more",Private,17 years old
93,Max Life Insuran...,4.2,(2.6k Reviews),22 years old,"Gurgaon/Gurugram,Haryana + 246 more",10k-50k Employees (India)
94,Cyient,3.7,(2.6k Reviews),"Hyderabad/Secunderabad,Telangana + 26 more",Public,31 years old
95,Hero MotoCorp,4.3,(2.6k Reviews),"Gurgaon/Gurugram,Haryana + 248 more",Public,38 years old
96,Wells Fargo Indi...,4.2,(2.5k Reviews),"San Francisco,California + 10 more",Private,24 years old
97,JLL,4.3,(2.5k Reviews),"Mumbai,Maharashtra + 54 more",Private,25 years old
98,Tata Projects,4.2,(2.5k Reviews),"Mumbai,Maharashtra + 176 more",Public,43 years old
99,Hyundai Motor,4.1,(3.4k Reviews),Seoul + 212 more,Private,55 years old
100,Oracle,3.9,(3.2k Reviews),"Austin,Texas + 27 more",Public,45 years old
101,Atos Syntel,3.7,(4.1k Reviews),"Troy,Michigan + 14 more",Private,42 years old
